Instance name,  X location,  Y location,  Voltage
FILLER_0_11_15, 10.52, 40.8, 1.8
PHY_24, 5.52, 46.24, 1.8
PHY_25, 28.98, 46.24, 1.8
PHY_20, 5.52, 40.8, 1.8
PHY_22, 5.52, 40.8, 1.8
input2, 5.52, 40.8, 1.8
PHY_21, 28.98, 40.8, 1.8
PHY_23, 28.98, 40.8, 1.8
_2_, 15.18, 40.8, 1.8
_3_, 15.18, 40.8, 1.8
FILLER_0_12_18, 15.18, 40.8, 1.8
output3, 22.08, 40.8, 1.8
FILLER_0_10_41, 22.08, 40.8, 1.8
FILLER_0_11_42, 22.08, 40.8, 1.8
PHY_16, 5.52, 35.36, 1.8
PHY_18, 5.52, 35.36, 1.8
PHY_17, 28.98, 35.36, 1.8
PHY_19, 28.98, 35.36, 1.8
FILLER_0_9_39, 21.62, 35.36, 1.8
PHY_12, 5.52, 29.92, 1.8
PHY_14, 5.52, 29.92, 1.8
PHY_13, 28.98, 29.92, 1.8
PHY_15, 28.98, 29.92, 1.8
FILLER_0_7_39, 21.62, 29.92, 1.8
FILLER_0_8_41, 21.62, 29.92, 1.8
PHY_8, 5.52, 24.48, 1.8
PHY_10, 5.52, 24.48, 1.8
PHY_9, 28.98, 24.48, 1.8
PHY_11, 28.98, 24.48, 1.8
FILLER_0_5_39, 21.62, 24.48, 1.8
FILLER_0_6_41, 21.62, 24.48, 1.8
PHY_4, 5.52, 19.04, 1.8
PHY_6, 5.52, 19.04, 1.8
PHY_5, 28.98, 19.04, 1.8
PHY_7, 28.98, 19.04, 1.8
FILLER_0_3_39, 21.62, 19.04, 1.8
FILLER_0_4_41, 21.62, 19.04, 1.8
PHY_0, 5.52, 13.6, 1.8
PHY_2, 5.52, 13.6, 1.8
input1, 5.52, 13.6, 1.8
PHY_1, 28.98, 13.6, 1.8
PHY_3, 28.98, 13.6, 1.8
output4, 28.98, 13.6, 1.8
_4_, 11.04, 13.6, 1.8
FILLER_0_0_18, 11.04, 13.6, 1.8
FILLER_0_1_15, 11.04, 13.6, 1.8
_5_, 21.62, 13.6, 1.8
FILLER_0_0_41, 21.62, 13.6, 1.8
FILLER_0_1_41, 21.62, 13.6, 1.8
FILLER_0_2_41, 21.62, 13.6, 1.8
